UniqueAnimalID,min,max,dias_tracking,TotalDistance_km,distance_per_day,AvgLatitude,AvgLongitude,Year
128,1990-07-01,1992-11-30,884,6592.049696206938,7.457069792089297,71.6474868067227,-152.77286983193278,1990
130,1990-07-01,1990-11-30,153,3882.214386643823,25.37395023950211,73.79786225045372,-160.83036878402905,1990
131,1990-07-01,1990-11-30,153,3336.7236592655945,21.808651367748983,72.9186381967213,-160.83113770491804,1990
132,1990-07-01,1990-11-30,153,2945.9703096461094,19.25470790618372,72.67211365740741,-170.43508587962964,1990
133,1990-07-01,1991-11-27,515,6242.977742031166,12.122286877730419,71.8884632065776,-175.03903823227134,1990
138,1990-07-01,1990-11-30,153,2597.4075477912775,16.976519920204428,70.92830584269663,-176.59781528089886,1990
140,1990-07-01,1990-11-30,153,4117.2350953489895,26.910033302934572,72.04444646962233,-169.05029211822662,1990
142,1990-07-01,1990-11-30,153,3866.305583673401,25.26997113512027,72.4737708074534,-168.096183436853,1990
143,1990-07-01,1991-08-22,418,2564.2005328208174,6.134451035456501,69.99961901234569,-176.10310222222222,1990
144,1990-07-10,1991-08-18,405,2096.538738146732,5.176638859621561,72.00892125748503,-178.13045269461077,1990
145,1990-07-01,1990-10-18,110,2091.521994937663,19.013836317615116,73.00801510297482,-167.090718993135,1990
146,1990-07-01,1990-10-17,109,1252.8077560244053,11.493649137838581,72.89678617021276,-174.80371134751772,1990
147,1990-07-01,1990-10-28,120,2499.2165921933897,20.826804934944914,73.28199203354298,-173.3492603773585,1990
149,1990-07-01,1991-11-30,518,6254.394025390011,12.074119740135156,72.1515128463476,-166.83442544080603,1990
150,1990-07-01,1990-11-30,153,3134.718919564647,20.488358951402923,72.6122427378965,-172.71918914858097,1990
151,1990-07-01,1990-10-17,109,2277.289345657569,20.89256280419788,72.70526296296296,-175.62549675925928,1990
152,1991-07-01,1991-11-29,152,1004.6077290578836,6.609261375380814,70.80384794520548,-177.4877917808219,1991
153,1991-08-12,1991-11-30,111,2021.2484672032606,18.209445650479825,73.08771472222223,-177.9433836111111,1991
155,1991-07-01,1991-11-30,153,2666.0991526930516,17.42548465812452,70.28831080508475,-175.5934063559322,1991
156,1991-07-01,1991-11-30,153,2406.848955919637,15.731038927579325,72.07395921288015,-174.2649595706619,1991
